title,initiative_url,feedback_url,feedback_count,topic,type_of_act,feedback_period,feedback_start,feedback_end,correct_feedback_url
Legislation for plants produced by certain new genomic techniquesTopicFood safetyType of actProposal for a regulationFeedback period29 April 2022 - 22 July 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13119-Legislation-for-plants-produced-by-certain-new-genomic-techniques_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13119-Legislation-for-plants-produced-by-certain-new-genomic-techniques/feedback,70894,Food safety,Proposal for a regulation,29 April 2022 - 22 July 2022,2022-04-29,2022-07-22,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13119-Legislation-for-plants-produced-by-certain-new-genomic-techniques/feedback_en?p_id=15091
Evaluation of the legislative framework for tobacco controlTopicPublic healthType of actEvaluationFeedback period21 February 2023 - 16 May 2023,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13481-Evaluation-of-the-legislative-framework-for-tobacco-control_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13481-Evaluation-of-the-legislative-framework-for-tobacco-control/feedback,24359,Public health,Evaluation,21 February 2023 - 16 May 2023,2023-02-21,2023-05-16,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13481-Evaluation-of-the-legislative-framework-for-tobacco-control/feedback_en?p_id=15956
Trade in seal products – fitness check of EU rulesTopicEnvironmentFeedback period15 May 2024 - 07 August 2024,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14031-Trade-in-seal-products-fitness-check-of-EU-rules_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14031-Trade-in-seal-products-fitness-check-of-EU-rules/feedback,14146,Environment,,15 May 2024 - 07 August 2024,2024-05-15,2024-08-07,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14031-Trade-in-seal-products-fitness-check-of-EU-rules/feedback_en?p_id=18267
EU pollinators initiative – revisionTopicEnvironmentType of actCommunicationFeedback period17 March 2022 - 09 June 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13142-EU-pollinators-initiative-revision_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13142-EU-pollinators-initiative-revision/feedback,7388,Environment,Communication,17 March 2022 - 09 June 2022,2022-03-17,2022-06-09,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13142-EU-pollinators-initiative-revision/feedback_en?p_id=15730
Hazardous chemicals – prohibiting production for export of chemicals banned in the European UnionTopicEnvironmentType of actProposal for a regulationFeedback period08 May 2023 - 31 July 2023,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13750-Hazardous-chemicals-prohibiting-production-for-export-of-chemicals-banned-in-the-European-Union_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13750-Hazardous-chemicals-prohibiting-production-for-export-of-chemicals-banned-in-the-European-Union/feedback,2668,Environment,Proposal for a regulation,08 May 2023 - 31 July 2023,2023-05-08,2023-07-31,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13750-Hazardous-chemicals-prohibiting-production-for-export-of-chemicals-banned-in-the-European-Union/feedback_en?p_id=16982
Revision of the Directive on Driving LicencesTopicTransportType of actProposal for a directiveFeedback period25 February 2022 - 20 May 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12978-Revision-of-the-Directive-on-Driving-Licences_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12978-Revision-of-the-Directive-on-Driving-Licences/feedback,2213,Transport,Proposal for a directive,25 February 2022 - 20 May 2022,2022-02-25,2022-05-20,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12978-Revision-of-the-Directive-on-Driving-Licences/feedback_en?p_id=14480
EU LGBTIQ equality strategy for 2026-2030TopicJustice and fundamental rightsType of actCommunicationFeedback period01 April 2025 - 24 June 2025,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14551-EU-LGBTIQ-equality-strategy-for-2026-2030_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14551-EU-LGBTIQ-equality-strategy-for-2026-2030/feedback,1682,Justice and fundamental rights,Communication,01 April 2025 - 24 June 2025,2025-04-01,2025-06-24,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14551-EU-LGBTIQ-equality-strategy-for-2026-2030/feedback_en?p_id=19405
"European Democracy ShieldTopicHome affairs, Justice and fundamental rightsType of actCommunicationFeedback period31 March 2025 - 26 May 2025",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14587-European-Democracy-Shield_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14587-European-Democracy-Shield/feedback,1574,"Home affairs, Justice and fundamental rights",Communication,31 March 2025 - 26 May 2025,2025-03-31,2025-05-26,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14587-European-Democracy-Shield/feedback_en?p_id=19397
Safeguarding media freedom in the EU – new rulesTopicSingle marketType of actProposal for a regulationFeedback period10 January 2022 - 25 March 2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13206-Safeguarding-media-freedom-in-the-EU-new-rules_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13206-Safeguarding-media-freedom-in-the-EU-new-rules/feedback,1470,Single market,Proposal for a regulation,10 January 2022 - 25 March 2022,2022-01-10,2022-03-25,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13206-Safeguarding-media-freedom-in-the-EU-new-rules/feedback_en?p_id=15456
"Uniform rounding rules for cash payments in euro – assessmentTopicEconomy, finance and the euroType of actActFeedback period28 September 2020 - 11 January 2021",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12566-Uniform-rounding-rules-for-cash-payments-in-euro-assessment_en,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12566-Uniform-rounding-rules-for-cash-payments-in-euro-assessment/feedback,1455,"Economy, finance and the euro",Act,28 September 2020 - 11 January 2021,2020-09-28,2021-01-11,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12566-Uniform-rounding-rules-for-cash-payments-in-euro-assessment/feedback_en?p_id=13429
