title,topic,url,total_feedback_check,EU citizen,Non-EU citizen,Academic/research Institution,Company/business,Business association,Non-governmental organisation (NGO),Other,Trade union,Environmental organisation,Public authority,Consumer organisation,index_ref,Prefer not to answer
Legislation for plants produced by certain new genomic techniquesTopicFood safetyType of actProposal for a regulationFeedback period29 April 2022 - 22 July 2022,Food safety,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13119-Legislation-for-plants-produced-by-certain-new-genomic-techniques/feedback_en?p_id=15091,70894.0,68183,2249.0,113.0,110.0,80.0,67.0,43.0,12.0,9.0,8.0,5.0,0.0,0.0
Evaluation of the legislative framework for tobacco controlTopicPublic healthType of actEvaluationFeedback period21 February 2023 - 16 May 2023,Public health,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13481-Evaluation-of-the-legislative-framework-for-tobacco-control/feedback_en?p_id=15956,24359.0,22742,362.0,42.0,731.0,95.0,66.0,239.0,12.0,1.0,22.0,47.0,0.0,0.0
Trade in seal products – fitness check of EU rulesTopicEnvironmentFeedback period15 May 2024 - 07 August 2024,Environment,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14031-Trade-in-seal-products-fitness-check-of-EU-rules/feedback_en?p_id=18267,14146.0,13679,183.0,13.0,29.0,18.0,45.0,140.0,0.0,19.0,17.0,3.0,0.0,0.0
EU pollinators initiative – revisionTopicEnvironmentType of actCommunicationFeedback period17 March 2022 - 09 June 2022,Environment,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13142-EU-pollinators-initiative-revision/feedback_en?p_id=15730,0.0,7164,64.0,9.0,41.0,11.0,15.0,48.0,0.0,25.0,8.0,3.0,3.0,0.0
Hazardous chemicals – prohibiting production for export of chemicals banned in the European UnionTopicEnvironmentType of actProposal for a regulationFeedback period08 May 2023 - 31 July 2023,Environment,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13750-Hazardous-chemicals-prohibiting-production-for-export-of-chemicals-banned-in-the-European-Union/feedback_en?p_id=16982,0.0,2478,48.0,5.0,27.0,22.0,43.0,19.0,2.0,12.0,9.0,3.0,4.0,0.0
Revision of the Directive on Driving LicencesTopicTransportType of actProposal for a directiveFeedback period25 February 2022 - 20 May 2022,Transport,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12978-Revision-of-the-Directive-on-Driving-Licences/feedback_en?p_id=14480,0.0,2071,36.0,2.0,26.0,18.0,13.0,27.0,3.0,0.0,5.0,10.0,5.0,0.0
EU LGBTIQ equality strategy for 2026-2030TopicJustice and fundamental rightsType of actCommunicationFeedback period01 April 2025 - 24 June 2025,Justice and fundamental rights,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14551-EU-LGBTIQ-equality-strategy-for-2026-2030/feedback_en?p_id=19405,0.0,1494,37.0,9.0,2.0,2.0,75.0,27.0,5.0,0.0,4.0,1.0,6.0,0.0
"European Democracy ShieldTopicHome affairs, Justice and fundamental rightsType of actCommunicationFeedback period31 March 2025 - 26 May 2025","Home affairs, Justice and fundamental rights",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14587-European-Democracy-Shield/feedback_en?p_id=19397,0.0,1398,9.0,14.0,10.0,14.0,94.0,22.0,2.0,3.0,4.0,1.0,7.0,0.0
Safeguarding media freedom in the EU – new rulesTopicSingle marketType of actProposal for a regulationFeedback period10 January 2022 - 25 March 2022,Single market,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13206-Safeguarding-media-freedom-in-the-EU-new-rules/feedback_en?p_id=15456,0.0,1386,13.0,5.0,8.0,12.0,20.0,17.0,4.0,0.0,4.0,1.0,8.0,0.0
"Uniform rounding rules for cash payments in euro – assessmentTopicEconomy, finance and the euroType of actActFeedback period28 September 2020 - 11 January 2021","Economy, finance and the euro",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12566-Uniform-rounding-rules-for-cash-payments-in-euro-assessment/feedback_en?p_id=13429,0.0,1439,3.0,2.0,2.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,9.0,0.0
Defending European democracy – CommunicationTopicJustice and fundamental rightsType of actCommunicationFeedback period16 February 2023 - 14 April 2023,Justice and fundamental rights,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13730-Defending-European-democracy-Communication/feedback_en?p_id=16754,0.0,1102,15.0,4.0,1.0,4.0,63.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0
Recommendation on civic engagementTopicJustice and fundamental rightsType of actRecommendationFeedback period16 February 2023 - 14 April 2023,Justice and fundamental rights,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13748-Recommendation-on-civic-engagement/feedback_en?p_id=16754,0.0,1102,15.0,4.0,1.0,4.0,63.0,10.0,0.0,0.0,10.0,0.0,11.0,0.0
Recommendation on covert interference from third countriesTopicHome affairsType of actRecommendationFeedback period16 February 2023 - 14 April 2023,Home affairs,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13742-Recommendation-on-covert-interference-from-third-countries/feedback_en?p_id=16754,0.0,1102,15.0,4.0,1.0,4.0,63.0,10.0,0.0,0.0,10.0,0.0,12.0,0.0
Recommendation on resilient electoral processes and the 2024 elections to the European ParliamentTopicHome affairsType of actRecommendationFeedback period16 February 2023 - 14 April 2023,Home affairs,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13726-Recommendation-on-resilient-electoral-processes-and-the-2024-elections-to-the-European-Parliament/feedback_en?p_id=16754,1209.0,1102,15.0,4.0,1.0,4.0,63.0,10.0,0.0,0.0,10.0,0.0,13.0,0.0
Transparency of covert interference by third countriesTopicHome affairsType of actProposal for a regulationFeedback period16 February 2023 - 14 April 2023,Home affairs,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13744-Transparency-of-covert-interference-by-third-countries/feedback_en?p_id=16754,1209.0,1102,15.0,4.0,1.0,4.0,63.0,10.0,0.0,0.0,10.0,0.0,14.0,0.0
2030 Climate Target PlanTopicClimate actionType of actCommunicationFeedback period31 March 2020 - 23 June 2020,Climate action,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12265-2030-Climate-Target-Plan/feedback_en?p_id=12894,1093.0,723,49.0,19.0,71.0,101.0,72.0,15.0,0.0,29.0,12.0,2.0,15.0,0.0
Animal welfare – animals kept for economic purposesTopicFood safetyType of actProposal for a regulationFeedback period15 October 2021 - 21 January 2022,Food safety,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13611-Animal-welfare-animals-kept-for-economic-purposes/feedback_en?p_id=14774,983.0,783,5.0,2.0,24.0,32.0,90.0,24.0,6.0,2.0,10.0,5.0,16.0,0.0
Animal welfare – labelling for foodTopicFood safetyType of actProposal for a regulationFeedback period15 October 2021 - 21 January 2022,Food safety,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13610-Animal-welfare-labelling-for-food/feedback_en?p_id=14774,983.0,783,5.0,2.0,24.0,32.0,90.0,24.0,6.0,2.0,10.0,5.0,17.0,0.0
Animal welfare – protection of animals at the time of killingTopicFood safetyType of actProposal for a regulationFeedback period15 October 2021 - 21 January 2022,Food safety,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13612-Animal-welfare-protection-of-animals-at-the-time-of-killing/feedback_en?p_id=14774,983.0,783,5.0,2.0,24.0,32.0,90.0,24.0,6.0,2.0,10.0,5.0,18.0,0.0
Animal welfare – protection of animals during transportTopicFood safetyType of actProposal for a regulationFeedback period15 October 2021 - 21 January 2022,Food safety,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13613-Animal-welfare-protection-of-animals-during-transport/feedback_en?p_id=14774,983.0,783,5.0,2.0,24.0,32.0,90.0,24.0,6.0,2.0,10.0,5.0,19.0,0.0
Animal welfare – revision of EU legislationTopicFood safetyType of actProposal for a regulationFeedback period15 October 2021 - 21 January 2022,Food safety,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12950-Animal-welfare-revision-of-EU-legislation/feedback_en?p_id=14774,983.0,783,5.0,2.0,24.0,32.0,90.0,24.0,6.0,2.0,10.0,5.0,20.0,0.0
Public procurement directives – evaluationTopicSingle marketType of actEvaluationFeedback period13 December 2024 - 07 March 2025,Single market,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14427-Public-procurement-directives-evaluation/feedback_en?p_id=18932,949.0,168,4.0,29.0,156.0,160.0,120.0,96.0,16.0,2.0,196.0,2.0,21.0,0.0
Cross-border family situations - recognition of parenthoodTopicJustice and fundamental rightsType of actProposal for a regulationFeedback period19 May 2021 - 25 August 2021,Justice and fundamental rights,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12878-Cross-border-family-situations-recognition-of-parenthood/feedback_en?p_id=14440,760.0,705,2.0,3.0,0.0,2.0,27.0,3.0,0.0,0.0,0.0,0.0,22.0,0.0
Renewable energy projects – permit-granting processes & power-purchase agreementsTopicEnergyType of actProposal for a directiveFeedback period18 January 2022 - 12 April 2022,Energy,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13334-Renewable-energy-projects-permit-granting-processes-power-purchase-agreements/feedback_en?p_id=15522,728.0,568,2.0,1.0,34.0,25.0,19.0,19.0,0.0,50.0,10.0,0.0,23.0,0.0
EU rules on medical devices and in vitro diagnostics – targeted evaluationTopicPublic healthType of actEvaluationFeedback period12 December 2024 - 21 March 2025,Public health,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14155-EU-rules-on-medical-devices-and-in-vitro-diagnostics-targeted-evaluation/feedback_en?p_id=18928,584.0,119,18.0,61.0,212.0,46.0,27.0,73.0,3.0,0.0,14.0,5.0,24.0,4.0
EU climate target for 2040TopicClimate actionType of actCommunicationFeedback period31 March 2023 - 23 June 2023,Climate action,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13793-EU-climate-target-for-2040/feedback_en?p_id=16866,579.0,369,4.0,14.0,43.0,55.0,43.0,32.0,2.0,9.0,7.0,1.0,25.0,0.0
Energy efficiency – ecodesign requirements for solid-fuel local space heaters (review)TopicEnergyType of actRegulationFeedback period21 September 2023 - 14 December 2023,Energy,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13687-Energy-efficiency-ecodesign-requirements-for-solid-fuel-local-space-heaters-review-/feedback_en?p_id=17432,529.0,382,4.0,2.0,78.0,21.0,17.0,8.0,2.0,13.0,1.0,0.0,26.0,0.0
Facilitating healthier food choices – establishing nutrient profilesTopicFood safetyType of actRegulationFeedback period13 December 2021 - 07 March 2022,Food safety,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12748-Facilitating-healthier-food-choices-establishing-nutrient-profiles/feedback_en?p_id=14009,472.0,129,1.0,16.0,77.0,124.0,54.0,35.0,3.0,3.0,11.0,19.0,27.0,0.0
Food labelling - revision of rules on information provided to consumersTopicFood safetyType of actProposal for a regulationFeedback period13 December 2021 - 07 March 2022,Food safety,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12749-Food-labelling-revision-of-rules-on-information-provided-to-consumers/feedback_en?p_id=14009,472.0,129,1.0,16.0,77.0,124.0,54.0,35.0,3.0,3.0,11.0,19.0,28.0,0.0
EU solar energy strategyTopicEnergyType of actCommunicationFeedback period18 January 2022 - 12 April 2022,Energy,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13338-EU-solar-energy-strategy/feedback_en?p_id=15525,447.0,310,8.0,11.0,49.0,18.0,14.0,14.0,2.0,1.0,20.0,0.0,29.0,0.0
"Towards a circular, regenerative and competitive bioeconomyTopicEnvironmentType of actCommunicationFeedback period31 March 2025 - 23 June 2025",Environment,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14555-Towards-a-circular-regenerative-and-competitive-bioeconomy/feedback_en?p_id=19400,444.0,30,3.0,60.0,79.0,107.0,69.0,62.0,3.0,6.0,24.0,1.0,30.0,0.0
Learning opportunities (learning mobility) abroad in Europe for everyoneTopicEducation and trainingType of actProposal for a recommendationFeedback period08 February 2023 - 03 May 2023,Education and training,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13563-Learning-opportunities-learning-mobility-abroad-in-Europe-for-everyone/feedback_en?p_id=16720,408.0,170,7.0,101.0,11.0,9.0,28.0,56.0,2.0,0.0,24.0,0.0,31.0,0.0
Europe’s Beating Cancer PlanTopicPublic healthType of actCommunicationFeedback period04 February 2020 - 21 May 2020,Public health,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12154-Europes-Beating-Cancer-Plan/feedback_en?p_id=12436,384.0,87,8.0,41.0,44.0,27.0,123.0,36.0,5.0,1.0,8.0,4.0,32.0,0.0
EU renewable energy rules – reviewTopicEnergyType of actProposal for a directiveFeedback period17 November 2020 - 09 February 2021,Energy,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12553-EU-renewable-energy-rules-review/feedback_en?p_id=13401,374.0,42,6.0,6.0,119.0,114.0,45.0,12.0,1.0,14.0,13.0,1.0,33.0,0.0
Strengthened cooperation against vaccine preventable diseasesTopicPublic healthType of actProposal for a recommendationFeedback period21 December 2017 - 15 March 2018,Public health,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/1225-Strengthened-cooperation-against-vaccine-preventable-diseases/feedback_en?p_id=10584,368.0,300,10.0,3.0,4.0,1.0,20.0,14.0,1.0,0.0,0.0,2.0,34.0,0.0
Pesticides – sustainable use (updated EU rules)TopicFood safetyType of actProposal for a regulationFeedback period18 January 2021 - 12 April 2021,Food safety,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12413-Pesticides-sustainable-use-updated-EU-rules-/feedback_en?p_id=13120,360.0,208,0.0,5.0,24.0,62.0,33.0,17.0,2.0,5.0,2.0,2.0,35.0,0.0
Travel – digitalising travel documents to make travelling easierTopicHome affairsType of actProposal for a regulationFeedback period05 April 2023 - 28 June 2023,Home affairs,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13514-Travel-digitalising-travel-documents-to-make-travelling-easier/feedback_en?p_id=16235,360.0,330,3.0,0.0,6.0,2.0,5.0,12.0,0.0,0.0,0.0,0.0,36.0,0.0
"Gender Equality Strategy 2026-2030TopicConsumers, Employment and social affairs, Justice and fundamental rightsType of actCommunicationFeedback period19 May 2025 - 11 August 2025","Consumers, Employment and social affairs, Justice and fundamental rights",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14611-Gender-Equality-Strategy-2026-2030/feedback_en?p_id=19674,347.0,132,2.0,16.0,9.0,7.0,131.0,26.0,13.0,0.0,9.0,1.0,37.0,0.0
Chemicals legislation – revision of REACH Regulation to help achieve a toxic-free environmentTopicEnvironmentType of actProposal for a regulationFeedback period20 January 2022 - 15 April 2022,Environment,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12959-Chemicals-legislation-revision-of-REACH-Regulation-to-help-achieve-a-toxic-free-environment/feedback_en?p_id=14526,325.0,93,6.0,9.0,54.0,100.0,27.0,12.0,3.0,4.0,14.0,2.0,38.0,0.0
Sustainable consumption of goods – promoting repair and reuseTopicJustice and fundamental rightsType of actProposal for a directiveFeedback period11 January 2022 - 05 April 2022,Justice and fundamental rights,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13150-Sustainable-consumption-of-goods-promoting-repair-and-reuse/feedback_en?p_id=15491,325.0,209,4.0,3.0,42.0,29.0,21.0,5.0,2.0,3.0,6.0,1.0,39.0,0.0
VAT in the digital ageTopicTaxationType of actProposal for a directiveFeedback period20 January 2022 - 05 May 2022,Taxation,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13186-VAT-in-the-digital-age/feedback_en?p_id=15535,322.0,277,4.0,1.0,15.0,14.0,1.0,7.0,0.0,0.0,2.0,1.0,40.0,0.0
"Forests - new EU strategyTopicAgriculture and rural development, Climate action, EnvironmentType of actCommunicationFeedback period25 January 2021 - 19 April 2021","Agriculture and rural development, Climate action, Environment",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12674-Forests-new-EU-strategy/feedback_en?p_id=13735,312.0,125,3.0,31.0,25.0,16.0,57.0,16.0,3.0,16.0,16.0,0.0,41.0,0.0
Collective bargaining agreements for self-employed – scope of application EU competition rulesTopicCompetitionType of actCommunicationFeedback period05 March 2021 - 31 May 2021,Competition,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12483-Collective-bargaining-agreements-for-self-employed-scope-of-application-EU-competition-rules/feedback_en?p_id=14020,310.0,199,2.0,3.0,16.0,21.0,13.0,14.0,40.0,0.0,2.0,0.0,42.0,0.0
European Critical Raw Materials ActTopicSingle marketType of actProposal for a regulationFeedback period30 September 2022 - 25 November 2022,Single market,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13597-European-Critical-Raw-Materials-Act/feedback_en?p_id=16313,310.0,54,2.0,21.0,66.0,78.0,49.0,18.0,3.0,5.0,12.0,0.0,43.0,0.0
Revision of EU rules on food contact materialsTopicFood safetyType of actProposal for a regulationFeedback period05 October 2022 - 11 January 2023,Food safety,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12497-Revision-of-EU-rules-on-food-contact-materials/feedback_en?p_id=13982,302.0,35,3.0,3.0,135.0,68.0,25.0,23.0,0.0,2.0,5.0,3.0,44.0,0.0
