title,topic,url,total_feedback_check,EU citizen,Non-EU citizen,Academic/research Institution,Company/business,Business association,Non-governmental organisation (NGO),Other,Trade union,Environmental organisation,Public authority,Consumer organisation,index_ref,Prefer not to answer,EU citizen (%),Non-EU citizen (%),Academic/research Institution (%),Company/business (%),Business association (%),Non-governmental organisation (NGO) (%),Other (%),Trade union (%),Environmental organisation (%),Public authority (%),Consumer organisation (%),Prefer not to answer (%)
"Review of the EU school fruit, vegetables and milk scheme - EU aidTopicAgriculture and rural developmentType of actProposal for a regulationFeedback period05 May 2022 - 28 July 2022",Agriculture and rural development,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12971-Review-of-the-EU-school-fruit-vegetables-and-milk-scheme-EU-aid/feedback_en?p_id=14741,74.0,20,0.0,1.0,5.0,12.0,24.0,6.0,1.0,0.0,4.0,0.0,148.0,0.0,27.027027027027028,0.0,1.3513513513513513,6.756756756756757,16.216216216216218,32.432432432432435,8.108108108108109,1.3513513513513513,0.0,5.405405405405405,0.0,0.0
"Review of the EU school fruit, vegetables and milk schemeTopicAgriculture and rural developmentType of actProposal for a regulationFeedback period05 May 2022 - 28 July 2022",Agriculture and rural development,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12970-Review-of-the-EU-school-fruit-vegetables-and-milk-scheme/feedback_en?p_id=14741,74.0,20,0.0,1.0,5.0,12.0,24.0,6.0,1.0,0.0,4.0,0.0,149.0,0.0,27.027027027027028,0.0,1.3513513513513513,6.756756756756757,16.216216216216218,32.432432432432435,8.108108108108109,1.3513513513513513,0.0,5.405405405405405,0.0,0.0
Rural development – long-term vision for rural areasTopicAgriculture and rural developmentType of actCommunicationFeedback period07 September 2020 - 30 November 2020,Agriculture and rural development,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12525-Rural-development-long-term-vision-for-rural-areas/feedback_en?p_id=13334,198.0,45,1.0,9.0,11.0,18.0,50.0,27.0,1.0,4.0,32.0,0.0,65.0,0.0,22.727272727272727,0.5050505050505051,4.545454545454546,5.555555555555555,9.090909090909092,25.252525252525253,13.636363636363635,0.5050505050505051,2.0202020202020203,16.161616161616163,0.0,0.0
Organic farming - action plan for the development of EU organic productionTopicAgriculture and rural developmentType of actCommunicationFeedback period04 September 2020 - 27 November 2020,Agriculture and rural development,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12555-Organic-farming-action-plan-for-the-development-of-EU-organic-production/feedback_en?p_id=13489,124.0,41,1.0,2.0,23.0,28.0,16.0,8.0,2.0,0.0,3.0,0.0,99.0,0.0,33.064516129032256,0.8064516129032258,1.6129032258064515,18.548387096774192,22.58064516129032,12.903225806451612,6.451612903225806,1.6129032258064515,0.0,2.4193548387096775,0.0,0.0
EU farm and food products – review of policy on promotion inside and outside the EUTopicAgriculture and rural developmentType of actProposal for a regulationFeedback period31 March 2021 - 23 June 2021,Agriculture and rural development,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12782-EU-farm-and-food-products-review-of-policy-on-promotion-inside-and-outside-the-EU/feedback_en?p_id=14174,151.0,45,0.0,0.0,12.0,42.0,32.0,7.0,2.0,0.0,7.0,2.0,88.0,0.0,29.80132450331126,0.0,0.0,7.9470198675496695,27.81456953642384,21.192052980132452,4.635761589403973,1.3245033112582782,0.0,4.635761589403973,1.3245033112582782,0.0
Agricultural products – revision of EU marketing standardsTopicAgriculture and rural developmentType of actProposal for a directiveFeedback period08 June 2021 - 31 August 2021,Agriculture and rural development,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12772-Agricultural-products-revision-of-EU-marketing-standards/feedback_en?p_id=14082,156.0,14,0.0,1.0,36.0,56.0,17.0,11.0,4.0,0.0,16.0,0.0,82.0,0.0,8.974358974358974,0.0,0.641025641025641,23.076923076923077,35.8974358974359,10.897435897435898,7.051282051282051,2.564102564102564,0.0,10.256410256410255,0.0,0.0
"Forests - new EU strategyTopicAgriculture and rural development, Climate action, EnvironmentType of actCommunicationFeedback period25 January 2021 - 19 April 2021","Agriculture and rural development, Climate action, Environment",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12674-Forests-new-EU-strategy/feedback_en?p_id=13735,312.0,125,3.0,31.0,25.0,16.0,57.0,16.0,3.0,16.0,16.0,0.0,41.0,0.0,40.06410256410257,0.9615384615384616,9.935897435897436,8.012820512820513,5.128205128205128,18.269230769230766,5.128205128205128,0.9615384615384616,5.128205128205128,5.128205128205128,0.0,0.0
Payment services – review of EU rulesTopicBanking and financial servicesType of actReportFeedback period10 May 2022 - 02 August 2022,Banking and financial services,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13331-Payment-services-review-of-EU-rules/feedback_en?p_id=15917,195.0,152,18.0,0.0,9.0,12.0,0.0,3.0,0.0,0.0,0.0,1.0,67.0,0.0,77.94871794871796,9.230769230769232,0.0,4.615384615384616,6.153846153846154,0.0,1.5384615384615385,0.0,0.0,0.0,0.5128205128205128,0.0
Open finance framework – enabling data sharing and third party access in the financial sectorTopicBanking and financial servicesType of actProposal for a regulationFeedback period10 May 2022 - 02 August 2022,Banking and financial services,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13241-Open-finance-framework-enabling-data-sharing-and-third-party-access-in-the-financial-sector/feedback_en?p_id=15918,79.0,56,1.0,0.0,3.0,14.0,0.0,3.0,1.0,0.0,0.0,1.0,141.0,0.0,70.88607594936708,1.2658227848101267,0.0,3.79746835443038,17.72151898734177,0.0,3.79746835443038,1.2658227848101267,0.0,0.0,1.2658227848101267,0.0
Corporate Sustainability ReportingTopicBanking and financial servicesType of actProposal for a directiveFeedback period20 February 2020 - 11 June 2020,Banking and financial services,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12129-Corporate-Sustainability-Reporting/feedback_en?p_id=12405,78.0,4,0.0,1.0,15.0,27.0,16.0,10.0,1.0,0.0,4.0,0.0,142.0,0.0,5.128205128205128,0.0,1.282051282051282,19.230769230769234,34.61538461538461,20.51282051282051,12.82051282051282,1.282051282051282,0.0,5.128205128205128,0.0,0.0
